REGIONAL,MEDIO DE  RECEPCION,TIPO DE AFECTACION,RECURSO AFECTADO,MUNICIPIO,Periodo
Aguas,Telefónico,QUEMAS,AIRE,SAN CARLOS,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN CARLOS,2021
Valles,Correo electrónico,MOVIMIENTO DE TIERRAS,AGUA,RIONEGRO,2021
Valles,Correo electrónico,OLORES,AIRE,LA UNIÓN,2021
Valles,Correo electrónico,MOVIMIENTO DE TIERRAS,AGUA,EL SANTUARIO,2021
Valles,Telefónico,CONFLICTOS POR USO DEL AGUA,AGUA,EL RETIRO,2021
Valles,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,LA UNIÓN,2021
Valles,Telefónico,CONFLICTOS POR USO DEL AGUA,AGUA,EL RETIRO,2021
Paramo,Telefónico,CONTAMINACION DEL AGUA,AGUA,SONSÓN,2021
Valles,Telefónico,MOVIMIENTO DE TIERRAS,AGUA,RIONEGRO,2021
Valles,Telefónico,CONTAMINACION DEL AGUA,AGUA,MARINILLA,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN VICENTE,2021
Porce,Pagina Web,CONFLICTOS POR USO DEL AGUA,AGUA,ALEJANDRÍA,2021
Aguas,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,SAN RAFAEL,2021
Paramo,Pagina Web,TALA O PODA ARBOLES,FLORA,ARGELIA,2021
Valles,Telefónico,RETIRO A FUENTES HÍDRICAS,AGUA,EL SANTUARIO,2021
Paramo,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SONSÓN,2021
Valles,Correo electrónico,MOVIMIENTO DE TIERRAS,SUELO,EL SANTUARIO,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Porce,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,SANTO DOMINGO,2021
Valles,Telefónico,RETIRO A FUENTES HÍDRICAS,AGUA,LA CEJA,2021
Valles,Pagina Web,CONTAMINACION DEL AGUA,AGUA,MARINILLA,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN CARLOS,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN VICENTE,2021
Valles,Telefónico,CONTAMINACION DEL AGUA,AGUA,RIONEGRO,2021
